football,basketball,co_part_holonyms 
physics,chemistry,None 
television,radio,None 
rock,jazz,None 
liquid,water,hyponyms 
man,woman,antonyms 
skin,eye,None 
glass,metal,None 
type,kind,hypernyms 
planet,moon,None 
king,queen,identity 
food,fruit,None 
money,cash,None 
planet,sun,None 
psychology,science,hypernyms 
journal,association,None 
train,car,member_meronyms 
student,professor,None 
coast,forest,None 
wood,forest,identity 
planet,star,None 
professor,doctor,None 
media,radio,indirect_hyponyms 
practice,institution,indirect_hyponyms 
money,currency,hypernyms 
money,dollar,None 
investigation,effort,None 
drink,mother,None 
coast,hill,None 
consumer,energy,None 
peace,plan,None 
plane,car,indirect_hypernyms 
street,place,indirect_hypernyms 
car,flight,None 
start,match,None 
century,year,indirect_part_meronyms 
month,hotel,None 
drink,car,None 
five,month,None 
century,nation,None 
life,death,part_meronyms 
profit,loss,None 
school,center,None 
start,year,None 
travel,activity,indirect_hypernyms 
space,chemistry,None 
ministry,culture,None 
opera,performance,None 
attempt,peace,None 
opera,industry,None 
life,term,indirect_hypernyms 
energy,secretary,None 
direction,combination,None 
architecture,century,None 
experience,music,None 
cup,food,indirect_hypernyms 
development,issue,indirect_hypernyms 
media,trading,None 
image,surface,None 
cup,substance,indirect_hypernyms 
seven,series,None 
president,medal,None 
street,block,None 
media,gain,None 
population,development,None 
stock,live,None 
focus,life,None 
man,governor,None 
stock,life,None 
computer,news,None 
report,gain,None 
peace,insurance,None 
holy,sex,None 
street,children,None 
minority,peace,None 
cup,article,indirect_hypernyms 
problem,airport,None 
sugar,approach,None 
governor,interview,None 
peace,atmosphere,None 
money,operation,None 
line,insurance,hyponyms 
music,project,None 
possibility,girl,None 
cup,object,indirect_hypernyms 
