physics,chemistry,None 
seven,series,None 
man,woman,antonyms 
television,radio,None 
liquid,water,hyponyms 
football,basketball,co_part_holonyms 
rock,jazz,None 
king,queen,identity 
computer,news,None 
type,kind,hypernyms 
psychology,science,hypernyms 
five,month,None 
image,surface,None 
music,project,None 
population,development,None 
journal,association,None 
planet,sun,None 
school,center,None 
glass,metal,None 
planet,star,None 
ministry,culture,None 
money,dollar,None 
planet,moon,None 
media,radio,indirect_hyponyms 
food,fruit,None 
life,death,part_meronyms 
experience,music,None 
money,cash,None 
money,currency,hypernyms 
life,term,indirect_hypernyms 
consumer,energy,None 
space,chemistry,None 
energy,secretary,None 
cup,food,indirect_hypernyms 
skin,eye,None 
coast,forest,None 
street,block,None 
man,governor,None 
problem,airport,None 
plane,car,indirect_hypernyms 
coast,hill,None 
cup,object,indirect_hypernyms 
student,professor,None 
holy,sex,None 
cup,article,indirect_hypernyms 
street,children,None 
wood,forest,identity 
president,medal,None 
street,place,indirect_hypernyms 
century,year,indirect_part_meronyms 
media,gain,None 
car,flight,None 
peace,plan,None 
stock,life,None 
architecture,century,None 
focus,life,None 
cup,substance,indirect_hypernyms 
train,car,member_meronyms 
professor,doctor,None 
start,year,None 
century,nation,None 
direction,combination,None 
development,issue,indirect_hypernyms 
opera,performance,None 
money,operation,None 
peace,atmosphere,None 
travel,activity,indirect_hypernyms 
sugar,approach,None 
opera,industry,None 
start,match,None 
stock,live,None 
report,gain,None 
minority,peace,None 
line,insurance,hyponyms 
media,trading,None 
drink,mother,None 
profit,loss,None 
attempt,peace,None 
month,hotel,None 
investigation,effort,None 
governor,interview,None 
practice,institution,indirect_hyponyms 
peace,insurance,None 
drink,car,None 
possibility,girl,None 
