football,basketball,co_part_holonyms 
seven,series,None 
television,radio,None 
physics,chemistry,None 
rock,jazz,None 
liquid,water,hyponyms 
king,queen,identity 
five,month,None 
type,kind,hypernyms 
man,woman,antonyms 
journal,association,None 
computer,news,None 
psychology,science,hypernyms 
planet,sun,None 
image,surface,None 
population,development,None 
food,fruit,None 
school,center,None 
music,project,None 
money,cash,None 
media,radio,indirect_hyponyms 
glass,metal,None 
planet,moon,None 
cup,object,indirect_hypernyms 
space,chemistry,None 
money,dollar,None 
experience,music,None 
planet,star,None 
cup,food,indirect_hypernyms 
train,car,member_meronyms 
life,death,part_meronyms 
life,term,indirect_hypernyms 
ministry,culture,None 
consumer,energy,None 
energy,secretary,None 
street,block,None 
cup,article,indirect_hypernyms 
plane,car,indirect_hypernyms 
problem,airport,None 
start,year,None 
student,professor,None 
coast,forest,None 
money,currency,hypernyms 
cup,substance,indirect_hypernyms 
skin,eye,None 
man,governor,None 
century,year,indirect_part_meronyms 
street,place,indirect_hypernyms 
stock,life,None 
coast,hill,None 
president,medal,None 
architecture,century,None 
development,issue,indirect_hypernyms 
wood,forest,identity 
holy,sex,None 
stock,live,None 
direction,combination,None 
car,flight,None 
street,children,None 
media,gain,None 
peace,plan,None 
opera,performance,None 
minority,peace,None 
focus,life,None 
practice,institution,indirect_hyponyms 
century,nation,None 
opera,industry,None 
money,operation,None 
professor,doctor,None 
profit,loss,None 
peace,atmosphere,None 
media,trading,None 
attempt,peace,None 
travel,activity,indirect_hypernyms 
sugar,approach,None 
start,match,None 
line,insurance,hyponyms 
report,gain,None 
month,hotel,None 
drink,mother,None 
governor,interview,None 
drink,car,None 
investigation,effort,None 
possibility,girl,None 
peace,insurance,None 
